M1,M2,M3,M4
certus,potestas,,
debeo,possum,,
possum,dubius,,
certe,potestas,,
possum,forsitan,,
possum,possum,,
possum,debeo,,
debeo,necessarius,,
certus,debeo,,
fortasse,possum,,
possum,possum,,
possum,possum,,
aequus,debeo,,
certe,aeque,,
certe,possum,,
certus,certus,,
possum,possum,,
possum,debeo,,
fortasse,possum,,
possum,possum,,
possum,certus,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,aptus,,
necessarius,debeo,,
possum,aptus,,
possum,possum,,
aequus,iniquus,,
certus,possum,,
aequus,possum,,
possum,necessarius,,
possum,possum,,
certus,dubius,,
possum,debeo,,
debeo,possum,,
possum,licet,,
possum,debeo,,
fortasse,necesse sum,,
debeo,debeo,,
possum,possum,,
debeo,possum,,
certus,possum,,
necesse sum,licet,,
forte,possum,,
opus sum,possum,,
possum,certe,,
debeo,potestas,,
debeo,possum,,
certus,incertus,,
debeo,debeo,,
possum,fortasse,,
certe,possum,,
possum,possum,,
debeo,necessitudo,,
possum,dubius,,
possum,possum,,
certus,potestas,,
potestas,oportet,,
licet,possum,,
necessitudo,debeo,,
forte,possum,,
fortasse,possum,,
possum,possum,,
certe,debeo,,
possum,possum,,
debeo,possum,,
debeo,possum,,
incertus,possum,,
debeo,possum,,
certe,necesse sum,,
possum,licet,,
certe,oportet,,
certus,necesse sum,,
dubius,forsitan,,
incertus,certus,,
possum,possum,,
debeo,debeo,,
fortasse,necesse sum,,
possum,possum,,
debeo,possum,,
possum,possum,,
necesse sum,possum,,
certus,certus,,
oportet,possum,,
debeo,debeo,,
possum,dubius,,
certus,possum,,
possum,opus sum,,
possum,possum,,
possum,licet,,
possum,possum,,
necessitudo,aequus,,
possum,possum,,
possum,certus,,
debeo,possum,,
licet,debeo,,
possum,possum,,
forte,certus,,
certus,incertus,,
possum,opus sum,,
possum,fortasse,,
fortasse,possum,,
necessarius,necesse sum,,
possum,fortasse,,
possum,possum,,
certus,possum,,
possum,possum,,
possum,certe,,
possum,debeo,,
licet,licet,,
fortasse,debeo,,
possum,certus,,
aeque,oportet,,
certus,certus,,
necessitudo,possum,,
necessitudo,possum,,
possum,necessitudo,,
certe,possum,,
facultas,possum,,
opus sum,facultas,,
certe,possum,,
necessitudo,debeo,,
possum,possum,,
certe,possum,,
possum,possum,,
forte,possum,,
necessarius,possum,,
necessarius,possum,,
necesse sum,possum,,
opus sum,possum,,
certus,possum,,
possum,certe,,
debeo,possum,,
possum,fortasse,,
oportet,possum,,
forte,dubius,,
possum,possum,,
licet,possum,,
debeo,possum,,
fortasse,certe,,
certe,possum,,
possum,potestas,,
possum,necessarius,,
possum,necesse sum,,
certus,possum,,
possum,certe,,
dubius,necessitudo,,
necessarius,necessarius,,
facultas,possum,,
potestas,possum,,
oportet,potestas,,
necessario,debeo,,
possum,possum,,
necessitudo,debeo,,
facultas,possum,,
debeo,necessitudo,,
possum,necessitudo,,
possum,debeo,,
debeo,possum,,
dubius,possum,,
debeo,possum,,
necessitudo,possum,,
possum,possum,,
necessitudo,possum,,
incertus,fortasse,,
possum,possum,,
necessitudo,possum,,
necessitudo,debeo,,
necesse sum,necessitudo,,
necessarius,possum,,
necessitudo,potestas,,
necessitudo,possum,,
possum,debeo,,
possum,possum,,
possum,possum,,
licet,possum,,
opus sum,possum,,
debeo,possum,,
possum,possum,,
aeque,certus,,
certus,certus,,
certus,certus,,
debeo,possum,,
possum,necessarius,,
necessitudo,oportet,,
certus,forte,,
dubius,possum,,
possum,necessarius,,
possum,facultas,,
debeo,possum,,
potestas,necessitudo,,
possum,possum,,
possum,possum,,
fortasse,possum,,
possum,possum,,
debeo,oportet,,
possum,possum,,
possum,possum,,
possum,certe,,
possum,certus,,
possum,possum,,
possum,oportet,,
possum,possum,,
necessitudo,possum,,
opus sum,possum,,
dubius,potestas,,
necessitudo,possum,,
potestas,aequus,,
necessarius,aptus,,
necessarius,possum,,
aequus,potestas,,
facultas,possum,,
licet,possum,,
necessario,certus,,
necessario,possum,,
possum,aequus,,
possum,aequus,,
certus,certus,,
incertus,debeo,,
possum,potestas,,
aequus,facultas,,
debeo,aptus,,
usus sum,potestas,,
certus,possum,,
possum,debeo,,
facultas,certus,,
possum,possum,,
certus,necessario,,
forte,facultas,,
certus,possum,,
necessario,possum,,
facultas,possum,,
possum,possum,,
oportet,necessarius,,
possum,debeo,,
iniquus,possum,,
necessarius,possum,,
possum,possum,,
aequus,necessarius,,
dubius,possum,,
necessarius,certus,,
necessarius,possum,,
licet,licet,,
possum,possum,,
certus,licet,,
possum,possum,,
facultas,potestas,,
facultas,facultas,,
necessarius,licet,,
possum,potestas,,
licet,possum,,
oportet,iniquus,,
oportet,debeo,,
possum,facultas,,
opus sum,possum,,
oportet,possum,,
debeo,iniquus,,
possum,potestas,,
iniquus,debeo,,
certus,potestas,,
possum,facultas,,
possum,facultas,,
forte,facultas,,
possum,possum,,
necessario,possum,,
possum,certus,,
necesse sum,incertus,,
aequus,potestas,,
facultas,possum,,
possum,possum,,
possum,oportet,,
possum,aptus,,
possum,possum,,
incertus,certus,,
iniquus,licet,,
facultas,possum,,
iniquus,possum,,
possum,possum,,
possum,possum,,
licet,possum,,
possum,iniquus,,
debeo,possum,,
potestas,certus,,
oportet,possum,,
possum,necesse sum,,
possum,possum,,
possum,necessario,,
oportet,potestas,,
possum,possum,,
certus,possum,,
possum,certe,,
necessitas,possum,,
necessario,possum,,
necessario,iniquus,,
possum,certus,,
possum,possum,,
possum,usus sum,,
forte,possum,,
forte,iniquus,,
possum,potestas,,
possum,possum,,
potestas,debeo,,
certus,possum,,
necessitas,possum,,
incertus,certus,,
incertus,certus,,
possum,necessarius,,
possum,possum,,
incertus,certus,,
dubius,decet,,
licet,possum,,
possum,possum,,
necessarius,decet,,
incertus,potestas,,
necessarius,possum,,
possum,iniquus,,
decet,aequus,,
dubius,decet,,
potestas,possum,,
possum,possum,,
dubius,potestas,,
necessarius,possum,,
possum,forte,,
certus,possum,,
debeo,possum,,
licet,licet,,
possum,debeo,,
possum,potestas,,
forte,iniquus,,
possum,aequus,,
necessarius,iniquus,,
possum,possum,,
debeo,possum,,
facultas,potestas,,
possum,possum,,
licet,debeo,,
debeo,debeo,,
aequus,iniquus,,
possum,possum,,
possum,possum,,
licet,possum,,
certe,possum,,
possum,potestas,,
fortasse,necessarius,,
licet,necesse sum,,
possum,possum,,
fortasse,possum,,
facultas,licet,,
aequus,possum,,
decet,possum,,
dubius,possum,,
usus sum,possum,,
certe,debeo,,
necessitas,valet,,
potestas,licet,,
certe,possum,,
possum,possum,,
fortasse,necessarius,,
debeo,possum,,
potestas,potestas,,
possum,possum,,
possum,possum,,
possum,certus,,
possum,possum,,
possum,possum,,
debeo,possum,,
debeo,usus sum,,
debeo,possum,,
opus sum,possum,,
possum,potestas,,
possum,possum,,
certe,debeo,,
certe,debeo,,
possum,possum,,
possum,aequus,,
possum,possum,,
possum,possum,,
debeo,possum,,
possum,possum,,
possum,licet,,
possum,licet,,
licet,possum,,
possum,possum,,
possum,possum,,
possum,certe,,
meum sum,possum,,
aequus,aptus,,
licet,possum,,
licet,licet,,
possum,possum,,
possum,possum,,
necesse sum,certus,,
debeo,possum,,
fortasse,possum,,
possum,debeo,,
necesse sum,possum,,
possum,potestas,,
debeo,possum,,
debeo,possum,,
possum,possum,,
possum,possum,,
oportet,possum,,
oportet,possum,,
possum,licet,,
debeo,aeque,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,debeo,,
usus sum,debeo,,
certe,licet,,
possum,possum,,
possum,possum,,
opus sum,licet,,
possum,possum,,
possum,debeo,,
certe,certus,,
possum,licet,,
possum,possum,,
licet,necesse sum,,
possum,debeo,,
possum,incertus,,
debeo,debeo,,
possum,possum,,
possum,debeo,,
possum,possum,,
possum,possum,,
possum,debeo,,
possum,certe,,
licet,possum,,
possum,possum,,
possum,possum,,
certus,debeo,,
debeo,possum,,
licet,oportet,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,usus sum,,
certe,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
debeo,possum,,
possum,possum,,
possum,possum,,
certe,possum,,
possum,possum,,
possum,possum,,
possum,dubius,,
licet,debeo,,
debeo,possum,,
possum,possum,,
licet,oportet,,
possum,possum,,
possum,debeo,,
debeo,necessitas,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
debeo,possum,,
certe,debeo,,
usus sum,possum,,
possum,possum,,
oportet,licet,,
possum,possum,,
possum,possum,,
possum,debeo,,
debeo,possum,,
possum,possum,,
fortasse,possum,,
debeo,possum,,
dubius,dubius,,
aeque,aeque,,
debeo,debeo,,
possum,possum,,
licet,possum,,
oportet,licet,,
licet,licet,,
possum,possum,,
possum,potestas,,
aeque,aeque,,
debeo,necesse sum,,
possum,possum,,
debeo,debeo,,
possum,possum,,
possum,usus sum,,
possum,possum,,
possum,debeo,,
possum,possum,,
possum,possum,,
possum,possum,,
debeo,possum,,
possum,possum,,
possum,possum,,
debeo,oportet,,
licet,fortasse,,
licet,licet,,
necessarius,licet,,
licet,licet,,
debeo,debeo,,
possum,possum,,
licet,oportet,,
licet,licet,,
possum,possum,,
possum,debeo,,
possum,debeo,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,possum,,
possum,licet,,
possum,possum,,
dubius,possum,,
debeo,possum,,
possum,necesse sum,,
possum,possum,,
oportet,possum,,
debeo,possum,,
possum,possum,,
oportet,possum,,
possum,possum,,
certus,possum,,
oportet,possum,,
possum,necessario,,
ius sum,aeque,,
necessitudo,necessitudo,,
necessitudo,possum,,
possum,necessario,,
possum,possum,,
oportet,necessitudo,,
possum,possum,,
possum,possum,,
possum,oportet,,
necesse sum,necessarius,,
necesse sum,licet,,
aequus,possum,,
necessarius,oportet,,
possum,oportet,,
possum,possum,,
certus,oportet,,
possum,possum,,
oportet,possum,,
oportet,possum,,
forte,possum,,
valet,oportet,,
oportet,debeo,,
possum,possum,,
oportet,possum,,
possum,oportet,,
forte,facultas,,
opus sum,necessario,,
oportet,oportet,,
oportet,debeo,,
possum,facultas,,
possum,debeo,,
facultas,debeo,,
oportet,oportet,,
possum,facultas,,
necesse sum,possum,,
possum,possum,,
oportet,possum,,
possum,facultas,,
debeo,debeo,,
aeque,possum,,
necesse sum,certus,,
necessarius,facultas,,
facultas,possum,,
oportet,oportet,,
possum,possum,,
possum,possum,,
possum,facultas,,
possum,certus,,
oportet,possum,,
possum,possum,,
opus sum,oportet,,
probabiliter,possum,,
necesse sum,possum,,
oportet,possum,,
possum,possum,,
necesse sum,oportet,,
oportet,possum,,
oportet,debeo,,
oportet,possum,,
oportet,necessarius,,
oportet,possum,,
fortasse,possum,,
oportet,possum,,
debeo,possum,,
possum,potestas,,
possum,debeo,,
necessarius,opus sum,,
debeo,necessitas,,
potestas,dubius,,
certus,certus,,
certus,possum,,
possum,possum,,
incertus,certus,,
oportet,aptus,,
possum,possum,,
potestas,possum,,
possum,potestas,,
possum,opus sum,,
licet,oportet,,
necessitas,opus sum,,
possum,possum,,
dubius,possum,,
potestas,possum,,
possum,necessarius,,
possum,possum,,
incertus,possum,,
oportet,oportet,,
possum,aeque,,
certus,possum,,
necesse sum,aeque,,
aeque,aeque,,
oportet,possum,,
possum,necessitas,,
oportet,possum,,
dubius,oportet,,
oportet,possum,,
opus sum,possum,,
necessarius,possum,,
oportet,possum,,
iniquus,possum,,
necessarius,possum,,
possum,oportet,,
aptus,debeo,,
possum,possum,,
oportet,potestas,,
possum,possum,,
debeo,possum,,
forte,potestas,,
necesse sum,necessario,,
debeo,aptus,,
certus,certus,,
necessitas,certus,,
necessarius,possum,,
potestas,oportet,,
oportet,certus,,
aeque,aeque,,
possum,certus,,
possum,necesse sum,,
possum,possum,,
aequus,possum,,
necessario,oportet,,
oportet,opus sum,,
possum,possum,,
necesse sum,aeque,,
possum,debeo,,
necessarius,possum,,
certus,aequus,,
opus sum,possum,,
necessitas,possum,,
necessitas,possum,,
debeo,debeo,,
opus sum,possum,,
opus sum,possum,,
certus,possum,,
oportet,possum,,
necessarius,possum,,
oportet,dubius,,
potestas,possum,,
opus sum,debeo,,
oportet,aptus,,
oportet,possum,,
oportet,possum,,
possum,possum,,
debeo,possum,,
possum,opus sum,,
oportet,certus,,
possum,oportet,,
oportet,possum,,
oportet,oportet,,
possum,possum,,
oportet,possum,,
possum,oportet,,
possum,debeo,,
aptus,debeo,,
necessarius,valet,,
oportet,possum,,
oportet,possum,,
oportet,possum,,
oportet,possum,,
possum,licet,,
possum,possum,,
oportet,possum,,
oportet,debeo,,
possum,oportet,,
oportet,possum,,
oportet,decet,,
oportet,possum,,
oportet,possum,,
possum,possum,,
debeo,possum,,
possum,oportet,,
oportet,opus sum,,
possum,oportet,,
possum,possum,,
oportet,possum,,
oportet,possum,,
oportet,possum,,
licet,fortasse,,
debeo,possum,,
oportet,possum,,
oportet,possum,,
certus,possum,,
facultas,oportet,,
possum,possum,,
oportet,dubius,,
possum,oportet,,
oportet,possum,,
possum,possum,possum,facultas
certe,fortasse,certe,usus sum
certe,debeo,possum,
debeo,certe,debeo,debeo
certe,possum,licet,possum
queo,possum,debeo,debeo
incertus,dubius,possum,
debeo,debeo,necessarius,
possum,debeo,fortasse,
necessarius,valet,debeo,
necesse sum,possum,aptus,
debeo,possum,dubius,
debeo,possum,possum,forsitan
aeque,possum,debeo,
possum,oportet,necessitas,
fortasse,licet,licet,
possum,certe,possum,
opus sum,possum,certe,
necessitudo,possum,possum,
certe,debeo,possum,
necessitudo,facultas,dubius,debeo
dubius,possum,possum,
possum,possum,necesse sum,
possum,facultas,possum,
aequus,iniquus,aequus,debeo
debeo,debeo,debeo,
possum,debeo,possum,
possum,certe,debeo,
opus sum,opus sum,opus sum,
possum,certe,necesse sum,
incertus,possum,debeo,possum
possum,certe,potestas,
possum,possum,debeo,certe
possum,possum,necessario,
possum,possum,debeo,
certe,debeo,possum,
potestas,forte,debeo,
potestas,oportet,possum,
debeo,certe,possum,possum
potestas,incertus,possum,
potestas,certe,possum,
possum,debeo,valet,
possum,forte,possum,
possum,possum,possum,
certe,potestas,necessarius,
possum,necesse habeo,certus,
facultas,possum,possum,
necessitudo,possum,possum,
necessitudo,necessarius,necessarius,
aeque,certe,dubius,
debeo,necessario,potestas,
necessitudo,necessarius,debeo,fortasse
necessarius,fortasse,certe,
necessitudo,debeo,possum,
usus sum,usus sum,possum,
possum,possum,certus,
necessarius,certus,opus sum,
fortasse,certus,certus,
dubie,certus,possum,necesse sum
debeo,debeo,debeo,debeo
necessarius,fortasse,debeo,
certus,possum,potestas,possum
facultas,certe,possum,
facultas,necessario,iniquus,
possum,possum,possum,possum
certe,opus sum,facultas,
possum,debeo,potestas,
aequus,possum,aequus,
necessarius,certus,possum,
licet,possum,necessarius,
oportet,potestas,possum,necessario
possum,possum,possum,
possum,possum,possum,
necessitas,certus,opus sum,possum
possum,possum,possum,
aequus,possum,possum,
forte,possum,possum,
necessario,possum,incertus,
possum,aequus,possum,
possum,certus,possum,
forte,possum,possum,
certus,possum,facultas,
potestas,potestas,possum,
aequus,licet,possum,
possum,debeo,debeo,
debeo,incertus,certus,
certus,incertus,forsitan,
potestas,debeo,certus,
possum,aequus,possum,possum
iniquus,possum,aequus,aequus
possum,debeo,possum,
certus,certus,certus,
possum,possum,possum,
possum,forsitan,possum,
licet,licet,necesse sum,
possum,debeo,possum,
debeo,debeo,debeo,
licet,oportet,possum,
licet,licet,licet,
possum,possum,usus sum,
fortasse,possum,licet,
possum,possum,potestas,
oportet,licet,oportet,licet
debeo,necesse sum,potestas,
licet,debeo,possum,
possum,possum,possum,
certus,debeo,potestas,
necessitas,necessitas,necessitas,
possum,possum,possum,
possum,debeo,possum,
fortasse,fortasse,fortasse,
licet,licet,licet,
possum,possum,facultas,
certus,possum,possum,
possum,possum,aeque,possum
possum,aequus,possum,
possum,aequus,possum,
oportet,oportet,potestas,
possum,oportet,possum,
oportet,oportet,possum,
possum,possum,possum,oportet
possum,facultas,possum,
possum,certus,possum,
necessario,possum,possum,
licet,licet,possum,possum
potestas,oportet,possum,
aeque,possum,opus sum,opus sum
probabiliter,possum,possum,
certus,opus sum,certus,
facultas,certe,possum,
possum,possum,certus,
debeo,potestas,necesse sum,
possum,oportet,necesse sum,
oportet,dubius,debeo,necessitas
oportet,oportet,possum,
oportet,certus,certus,certus
debeo,debeo,certus,
oportet,potestas,possum,
necessitas,possum,possum,
possum,opus sum,opus sum,
debeo,possum,possum,
licet,dubius,aptus,
licet,possum,possum,
possum,opus sum,possum,possum
oportet,opus sum,opus sum,
necesse sum,necesse sum,possum,
oportet,licet,possum,
oportet,aeque,possum,
